# lambda=1315.0
# t(s)    MPE (W/cm^2/sr)
1.000e-01  2.461e+03
1.446e-01  1.724e+03
2.091e-01  1.209e+03
3.024e-01  8.487e+02
4.373e-01  5.965e+02
6.325e-01  4.198e+02
9.146e-01  2.959e+02
1.323e+00  2.088e+02
1.913e+00  1.476e+02
2.766e+00  1.045e+02
4.000e+00  7.429e+01
1.000e+01  2.971e+01
1.263e+02  2.971e+01
3.000e+04  2.971e+01


# lambda=1400.0
# t(s)    MPE (W/cm^2/sr)
1.000000e-01    1.639013e+03
1.500000e-01    7.759779e+02
2.000000e-01    4.571683e+02
2.500000e-01    3.035300e+02
3.000000e-01    2.607791e+02
4.000000e-01    2.054218e+02
6.000000e-01    1.470300e+02
8.000000e-01    1.161219e+02
1.000000e+00    9.676621e+01
2.000000e+00    5.512847e+01
3.000000e+00    3.976758e+01
4.000000e+00    3.183099e+01
5.000000e+00    2.546479e+01
6.000000e+00    2.122066e+01
7.000000e+00    1.818914e+01
8.000000e+00    1.591549e+01
9.000000e+00    1.414711e+01
1.000000e+01    1.273240e+01
2.000000e+01    1.273240e+01
3.000000e+01    1.273240e+01
4.000000e+01    1.273240e+01
5.000000e+01    1.273240e+01
6.000000e+01    1.273240e+01
7.000000e+01    1.273240e+01
8.000000e+01    1.273240e+01
9.000000e+01    1.273240e+01
1.000000e+02    1.273240e+01
2.000000e+02    1.273240e+01
3.000000e+02    1.273240e+01
4.000000e+02    1.273240e+01
5.000000e+02    1.273240e+01
6.000000e+02    1.273240e+01
7.000000e+02    1.273240e+01
8.000000e+02    1.273240e+01
9.000000e+02    1.273240e+01
1.000000e+03    1.273240e+01
2.000000e+03    1.273240e+01
3.000000e+03    1.273240e+01
4.000000e+03    1.273240e+01
5.000000e+03    1.273240e+01
6.000000e+03    1.273240e+01
7.000000e+03    1.273240e+01
8.000000e+03    1.273240e+01
9.000000e+03    1.273240e+01
1.000000e+04    1.273240e+01
2.000000e+04    1.273240e+01
3.000000e+04    1.273240e+01


