# lambda=425.0
# t(s)    MPE (W/cm^2/sr)
1.224273e+01    8.168115e+00
1.000000e+04    1.000000e-02
3.000000e+04    1.000000e-02


# lambda=475.0
# t(s)    MPE (W/cm^2/sr)
5.682571e+01    5.564872e+00
1.000000e+04    3.162278e-02
3.000000e+04    3.162278e-02


# lambda=500.0
# t(s)    MPE (W/cm^2/sr)
2.069706e+02    4.831604e+00
1.000000e+04    1.000000e-01
3.000000e+04    1.000000e-01


# lambda=532.0
# t(s)    MPE (W/cm^2/sr)
9.034594e+02    4.831604e+00
1.000000e+04    4.365158e-01
3.000000e+04    4.365158e-01


# lambda=550.0
# t(s)    MPE (W/cm^2/sr)
2.069706e+03    4.831604e+00
1.000000e+04    1.000000e+00
3.000000e+04    1.000000e+00


