# lambda=550.0
# t(s)    MPE (W/cm^2/sr)
1.000000e-01    4.295971e+01
2.500000e-01    2.160759e+01
1.000000e+02    4.831604e+00
3.000000e+04    4.831604e+00


# lambda=850.0
# t(s)    MPE (W/cm^2/sr)
1.000000e-01    8.571590e+01
2.500000e-01    4.311281e+01
1.000000e+02    9.640318e+00
3.000000e+04    9.640318e+00


# lambda=1064.0
# t(s)    MPE (W/cm^2/sr)
1.000000e-01    2.147986e+02
2.500000e-01    1.080380e+02
1.000000e+02    2.415802e+01
3.000000e+04    2.415802e+01


