# IR MPE data for Figure 6
# Exposure Duration (s)   MPE (J/cm^2)
#
# 1400 nm
1.0e-13         0.03
1.0e-11         0.03
1.0e-11         0.1
1.0e-9          0.1
1.0e-9          0.3
1.0e-3          0.3
4.0             1.0
10.0            1.0
3.0e+4          3.0e+3


# 1500 to 1800 nm
1.0e-13         0.1
1.0e-11         0.1
1.0e-11         0.3
1.0e-9          0.3
1.0e-9          1.0
10.0            1.0
3.0e+4          3.0e+3


# 1800 to 2600 nm
1.0e-13         0.01
1.0e-11         0.01
1.0e-11         0.03
1.0e-9          0.03
1.0e-9          0.1
1.0e-3          0.1
10.0            1.0
3.0e+4          3.0e+3

# > 2600 nm
1.0e-13         1.0e-3
1.0e-11         1.0e-3
1.0e-11         3.0e-3
1.0e-9          3.0e-3
1.0e-9          1.0e-2
1.0e-7          1.0e-2
10.0            1.0
3.0e+4          3.0e+3

