# Correction factors Ca, Cc
# wavelength (nm)    value
# Ca
400.0       1.0
700.0       1.0
1050.0      5.0
1400.0      5.0


# Cb
400.0       1.0
450.0       1.0
600.0    1000.0


# Cc
1050.0         1.0
1150.0         1.0
1200.0         8.0
1210.0         8.025
1220.0         8.064
1230.0         8.158
1240.0         8.398
1250.0         9.0
1260.0        10.512
1270.0        14.310
1280.0        23.849
1290.0        47.811
1300.0       108.0
1310.0       259.189
1320.0       638.957
1330.0      1592.893
1340.0      3989.072
1350.0     10008.0
1360.0     25126.864
1370.0     63103.734
1380.0    158497.319
1390.0    398115.171
1400.0   1000008.0
